year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
1991,BNY Mellon / Dreyfus family,1,1,50910.006,13.226,4224.0,3849.2368062906394,3849.2368062906394,319.37093603508237,319.37093603508237,3849.2368062906394,319.37093603508237
1992,BNY Mellon / Dreyfus family,1,1,50375.526,14.13,3583.0,3565.1469214437366,3565.1469214437366,253.5739561217268,253.5739561217268,3565.1469214437366,253.5739561217268
1993,BNY Mellon / Dreyfus family,1,1,53005.278,15.621,3798.0,3393.20645285193,3393.20645285193,243.1342423660457,243.1342423660457,3393.20645285193,243.1342423660457
1994,BNY Mellon / Dreyfus family,1,1,48476.498,15.477,4250.997,3132.163726820443,3132.163726820443,274.66543903857337,274.66543903857337,3132.163726820443,274.66543903857337
1995,BNY Mellon / Dreyfus family,1,1,55486.539,15.81,5327.0,3509.585009487666,3509.585009487666,336.93864642631246,336.93864642631246,3509.585009487666,336.93864642631246
1996,BNY Mellon / Dreyfus family,1,1,57542.841,16.158,5713.0,3561.260118826587,3561.260118826587,353.5709865082312,353.5709865082312,3561.260118826587,353.5709865082312
1997,BNY Mellon / Dreyfus family,1,1,66911.905,16.494,5697.0,4056.742148660119,4056.742148660119,345.39832666424155,345.39832666424155,4056.742148660119,345.39832666424155
1998,BNY Mellon / Dreyfus family,1,1,75176.3,17.157,5793.0,4381.669289502827,4381.669289502827,337.6464416856094,337.6464416856094,4381.669289502827,337.6464416856094
1999,BNY Mellon / Dreyfus family,1,1,82612.3,17.735,6070.0,4658.150549760361,4658.150549760361,342.26106568931493,342.26106568931493,4658.150549760361,342.26106568931493
2000,BNY Mellon / Dreyfus family,1,1,95338.7,18.861,7486.0,5054.8062138804935,5054.8062138804935,396.9036636445575,396.9036636445575,5054.8062138804935,396.9036636445575
2001,BNY Mellon / Dreyfus family,1,1,123061.2,19.181,7160.0,6415.786455346436,6415.786455346436,373.28606433449767,373.28606433449767,6415.786455346436,373.28606433449767
2002,BNY Mellon / Dreyfus family,1,1,122711.3,19.435,5756.0,6313.933624903525,6313.933624903525,296.166709544636,296.166709544636,6313.933624903525,296.166709544636
2003,BNY Mellon / Dreyfus family,1,1,109865.1,22.901,6336.0,4797.393126937689,4797.393126937689,276.6691410855421,276.6691410855421,4797.393126937689,276.6691410855421
2004,BNY Mellon / Dreyfus family,1,1,105599.7,23.363,7093.0,4519.954629114412,4519.954629114412,303.5997089414887,303.5997089414887,4519.954629114412,303.5997089414887
2005,BNY Mellon / Dreyfus family,1,1,113465.7,23.451,8312.0,4838.416272227197,4838.416272227197,354.4411752164087,354.4411752164087,4838.416272227197,354.4411752164087
2006,BNY Mellon / Dreyfus family,1,1,133876.7,22.961,9027.0,5830.612778189105,5830.612778189105,393.14489787030186,393.14489787030186,5830.612778189105,393.14489787030186
2007,BNY Mellon / Dreyfus family,1,1,160742.7,42.1,14782.0,3818.116389548694,3818.116389548694,351.1163895486936,351.1163895486936,3818.116389548694,351.1163895486936
2008,BNY Mellon / Dreyfus family,1,1,153449.8,42.9,16828.0,3576.918414918415,3576.918414918415,392.2610722610723,392.2610722610723,3576.918414918415,392.2610722610723
2009,BNY Mellon / Dreyfus family,1,1,168832.3,42.2,8279.0,4000.7654028436014,4000.7654028436014,196.18483412322274,196.18483412322274,4000.7654028436014,196.18483412322274
2010,BNY Mellon / Dreyfus family,1,1,156610.9,48.0,14483.0,3262.727083333333,3262.727083333333,301.7291666666667,301.7291666666667,3262.727083333333,301.7291666666667
2011,BNY Mellon / Dreyfus family,1,1,123183.9,48.7,15236.0,2529.443531827515,2529.443531827515,312.8542094455852,312.8542094455852,2529.443531827515,312.8542094455852
2012,BNY Mellon / Dreyfus family,1,1,125540.2,49.5,15089.0,2536.1656565656567,2536.1656565656567,304.82828282828285,304.82828282828285,2536.1656565656567,304.82828282828285
2013,BNY Mellon / Dreyfus family,1,1,135219.9,51.1,15326.0,2646.1819960861053,2646.1819960861053,299.92172211350294,299.92172211350294,2646.1819960861053,299.92172211350294
2014,BNY Mellon / Dreyfus family,1,1,134860.6,50.3,15210.0,2681.1252485089467,2681.1252485089467,302.38568588469184,302.38568588469184,2681.1252485089467,302.38568588469184
2015,BNY Mellon / Dreyfus family,1,1,117068.9,51.2,15494.0,2286.5019531249995,2286.5019531249995,302.6171875,302.6171875,2286.5019531249995,302.6171875
2016,BNY Mellon / Dreyfus family,1,1,80601.5,52.0,15674.0,1550.0288461538462,1550.0288461538462,301.4230769230769,301.4230769230769,1550.0288461538462,301.4230769230769
2017,BNY Mellon / Dreyfus family,1,1,89511.2,52.5,16617.0,1704.975238095238,1704.975238095238,316.51428571428573,316.51428571428573,1704.975238095238,316.51428571428573
2018,BNY Mellon / Dreyfus family,1,1,84630.2,51.3,19213.0,1649.711500974659,1649.711500974659,374.5224171539961,374.5224171539961,1649.711500974659,374.5224171539961
2019,BNY Mellon / Dreyfus family,1,1,89529.3,48.4,20007.0,1849.7789256198348,1849.7789256198348,413.36776859504135,413.36776859504135,1849.7789256198348,413.36776859504135
2020,BNY Mellon / Dreyfus family,1,1,90699.3,48.5,16940.0,1870.0886597938145,1870.0886597938145,349.2783505154639,349.2783505154639,1870.0886597938145,349.2783505154639
2021,BNY Mellon / Dreyfus family,1,1,90634.2,49.1,16158.0,1845.9103869653766,1845.9103869653766,329.0835030549898,329.0835030549898,1845.9103869653766,329.0835030549898
2022,BNY Mellon / Dreyfus family,1,1,74814.0,51.7,19991.0,1447.0793036750483,1447.0793036750483,386.6731141199226,386.6731141199226,1447.0793036750483,386.6731141199226
2023,BNY Mellon / Dreyfus family,1,1,81489.2,53.4,33805.0,1526.0149812734082,1526.0149812734082,633.0524344569288,633.0524344569288,1526.0149812734082,633.0524344569288
2024,BNY Mellon / Dreyfus family,1,1,80877.6,51.8,39914.0,1561.3436293436296,1561.3436293436296,770.5405405405406,770.5405405405406,1561.3436293436296,770.5405405405406
2025,BNY Mellon / Dreyfus family,1,1,85885.40000000001,48.1,40710.0,1785.5592515592516,1785.5592515592516,846.3617463617463,846.3617463617463,1785.5592515592516,846.3617463617463
1958,Bank of America / Merrill Lynch family,1,1,,,,,,,,,
1959,Bank of America / Merrill Lynch family,1,1,,0.645,8.25,,,12.790697674418604,12.790697674418604,,12.790697674418604
1960,Bank of America / Merrill Lynch family,1,1,,1.552,,,,,,,
1961,Bank of America / Merrill Lynch family,1,1,,1.574,,,,,,,
1962,Bank of America / Merrill Lynch family,1,1,,1.738,,,,,,,
1963,Bank of America / Merrill Lynch family,1,1,,1.8,28.603,,,15.890555555555556,15.890555555555556,,15.890555555555556
1964,Bank of America / Merrill Lynch family,1,1,,1.79,31.232,,,17.44804469273743,17.44804469273743,,17.44804469273743
1965,Bank of America / Merrill Lynch family,1,1,,1.932,35.854,,,18.557971014492754,18.557971014492754,,18.557971014492754
1966,Bank of America / Merrill Lynch family,1,1,,2.126,42.593,,,20.034336782690502,20.034336782690502,,20.034336782690502
1967,Bank of America / Merrill Lynch family,1,1,,2.319,53.969,,,23.27253126347564,23.27253126347564,,23.27253126347564
1968,Bank of America / Merrill Lynch family,1,1,,2.526,63.271,,,25.047901821060968,25.047901821060968,,25.047901821060968
1969,Bank of America / Merrill Lynch family,1,1,,2.918,92.782,,,31.796435915010278,31.796435915010278,,31.796435915010278
1970,Bank of America / Merrill Lynch family,1,1,,,111.772,,,,,,
1971,Bank of America / Merrill Lynch family,1,1,,3.34,127.359,,,38.131437125748505,38.131437125748505,,38.131437125748505
1972,Bank of America / Merrill Lynch family,1,1,,3.964,170.365,,,42.978052472250255,42.978052472250255,,42.978052472250255
1973,Bank of America / Merrill Lynch family,1,1,44.2,4.333,280.372,10.200784675744288,10.200784675744288,64.70620816985922,64.70620816985922,10.200784675744288,64.70620816985922
1974,Bank of America / Merrill Lynch family,1,1,38.0,4.443,357.265,8.552779653387352,8.552779653387352,80.41075849651136,80.41075849651136,8.552779653387352,80.41075849651136
1975,Bank of America / Merrill Lynch family,1,1,40.3,4.312,287.524,9.346011131725415,9.346011131725415,66.6799628942486,66.6799628942486,9.346011131725415,66.6799628942486
1976,Bank of America / Merrill Lynch family,1,1,56.5,4.29,285.314,13.17016317016317,13.17016317016317,66.50675990675991,66.50675990675991,13.17016317016317,66.50675990675991
1977,Bank of America / Merrill Lynch family,1,1,56.2,4.371,316.871,12.857469686570578,12.857469686570578,72.49393731411575,72.49393731411575,12.857469686570578,72.49393731411575
1978,Bank of America / Merrill Lynch family,1,1,52.6,4.552,396.603,11.55536028119508,11.55536028119508,87.12719683655537,87.12719683655537,11.55536028119508,87.12719683655537
1979,Bank of America / Merrill Lynch family,1,1,48.4,4.727,560.483,10.239052253014597,10.239052253014597,118.57055214723924,118.57055214723924,10.239052253014597,118.57055214723924
1980,Bank of America / Merrill Lynch family,1,1,45.2,4.857,741.688,9.30615606341363,9.30615606341363,152.7049619106444,152.7049619106444,9.30615606341363,152.7049619106444
1981,Bank of America / Merrill Lynch family,1,1,45.1,5.018,970.233,8.98764447987246,8.98764447987246,193.3505380629733,193.3505380629733,8.98764447987246,193.3505380629733
1982,Bank of America / Merrill Lynch family,1,1,68.7,7.784,1071.251,8.82579650565262,8.82579650565262,137.62217368961973,137.62217368961973,8.82579650565262,137.62217368961973
1983,Bank of America / Merrill Lynch family,1,1,639.0999999999999,7.635,1252.486,83.70661427635886,83.70661427635886,164.04531761624102,164.04531761624102,83.70661427635886,164.04531761624102
1984,Bank of America / Merrill Lynch family,1,1,3153.061,9.329,1643.031,337.9848858398542,337.9848858398542,176.1208060885411,176.1208060885411,337.9848858398542,176.1208060885411
1985,Bank of America / Merrill Lynch family,1,1,7608.283,9.981,1935.63,762.2766255886185,762.2766255886185,193.93146979260595,193.93146979260595,762.2766255886185,193.93146979260595
1986,Bank of America / Merrill Lynch family,1,1,13034.502,12.107,2295.379,1076.60873874618,1076.60873874618,189.59106302139259,189.59106302139259,1076.60873874618,189.59106302139259
1987,Bank of America / Merrill Lynch family,1,1,11460.007,12.334,2460.942,929.1395329982163,929.1395329982163,199.52505269985406,199.52505269985406,929.1395329982163,199.52505269985406
1988,Bank of America / Merrill Lynch family,1,1,9832.55,12.979,2833.505,757.573773017952,757.573773017952,218.3145850990061,218.3145850990061,757.573773017952,218.3145850990061
1989,Bank of America / Merrill Lynch family,1,1,11101.064,27.002,6036.278,411.120065180357,411.120065180357,223.54929264498926,223.54929264498926,411.120065180357,223.54929264498926
1990,Bank of America / Merrill Lynch family,1,1,15140.616,28.393,6682.259,533.2517169724932,533.2517169724932,235.34881837072518,235.34881837072518,533.2517169724932,235.34881837072518
1991,Bank of America / Merrill Lynch family,1,1,22977.487,57.177,11594.0,401.86590762019694,401.86590762019694,202.77384262902916,202.77384262902916,401.86590762019694,202.77384262902916
1992,Bank of America / Merrill Lynch family,1,1,21338.183,50.828,9942.0,419.8115802313685,419.8115802313685,195.60084992523804,195.60084992523804,419.8115802313685,195.60084992523804
1993,Bank of America / Merrill Lynch family,1,1,25396.152,57.463,10392.0,441.9565981588152,441.9565981588152,180.84680577066982,180.84680577066982,441.9565981588152,180.84680577066982
1994,Bank of America / Merrill Lynch family,1,1,19727.632,61.484,13113.0,320.8579793116909,320.8579793116909,213.2749983735606,213.2749983735606,320.8579793116909,213.2749983735606
1995,Bank of America / Merrill Lynch family,1,1,25063.06,58.322,16327.0,429.7359486986043,429.7359486986043,279.94581804464866,279.94581804464866,429.7359486986043,279.94581804464866
1996,Bank of America / Merrill Lynch family,1,1,28308.406,62.971,17509.0,449.5467119785298,449.5467119785298,278.04862555779647,278.04862555779647,449.5467119785298,278.04862555779647
