year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
1951,S&P Global,1,1,,3.6,53.1,,,14.75,14.75,,14.75
1952,S&P Global,1,1,,3.7,62.3,,,16.837837837837835,16.837837837837835,,16.837837837837835
1953,S&P Global,1,1,,3.8,67.6,,,17.789473684210524,17.789473684210524,,17.789473684210524
1954,S&P Global,1,1,,3.9,70.0,,,17.94871794871795,17.94871794871795,,17.94871794871795
1955,S&P Global,1,1,,4.0,76.7,,,19.175,19.175,,19.175
1956,S&P Global,1,1,,4.4,88.7,,,20.159090909090907,20.159090909090907,,20.159090909090907
1957,S&P Global,1,1,,4.8,98.2,,,20.458333333333336,20.458333333333336,,20.458333333333336
1958,S&P Global,1,1,,4.8,96.2,,,20.041666666666668,20.041666666666668,,20.041666666666668
1959,S&P Global,1,1,,4.9,105.8,,,21.591836734693874,21.591836734693874,,21.591836734693874
1960,S&P Global,1,1,,5.1,116.8,,,22.901960784313726,22.901960784313726,,22.901960784313726
1961,S&P Global,1,1,,7.2,148.0,,,20.555555555555554,20.555555555555554,,20.555555555555554
1962,S&P Global,1,1,,7.4,157.0,,,21.216216216216214,21.216216216216214,,21.216216216216214
1963,S&P Global,1,1,,7.8,170.37,,,21.842307692307692,21.842307692307692,,21.842307692307692
1964,S&P Global,1,1,,8.3,193.388,,,23.299759036144575,23.299759036144575,,23.299759036144575
1965,S&P Global,1,1,,8.9,216.198,,,24.29191011235955,24.29191011235955,,24.29191011235955
1966,S&P Global,1,1,,11.4,307.606,,,26.98298245614035,26.98298245614035,,26.98298245614035
1967,S&P Global,1,1,,12.3,328.284,,,26.689756097560974,26.689756097560974,,26.689756097560974
1968,S&P Global,1,1,,12.9,368.109,,,28.535581395348835,28.535581395348835,,28.535581395348835
1969,S&P Global,1,1,,13.3,398.292,,,29.94676691729323,29.94676691729323,,29.94676691729323
1970,S&P Global,1,1,,12.323,394.811,,,32.03854580865049,32.03854580865049,,32.03854580865049
1971,S&P Global,1,1,,11.987,404.944,,,33.78193042462668,33.78193042462668,,33.78193042462668
1972,S&P Global,1,1,,11.986,430.082,,,35.88202903387285,35.88202903387285,,35.88202903387285
1973,S&P Global,1,1,,12.243,470.264,,,38.4108470146206,38.4108470146206,,38.4108470146206
1974,S&P Global,1,1,,12.314,510.382,,,41.44729576092253,41.44729576092253,,41.44729576092253
1975,S&P Global,1,1,,11.801,536.475,,,45.46013049741548,45.46013049741548,,45.46013049741548
1976,S&P Global,1,1,,11.466,589.764,,,51.43589743589744,51.43589743589744,,51.43589743589744
1977,S&P Global,1,1,,11.886,659.024,,,55.445397947164736,55.445397947164736,,55.445397947164736
1978,S&P Global,1,1,,13.24,761.201,,,57.49252265861027,57.49252265861027,,57.49252265861027
1979,S&P Global,1,1,,14.351,879.886,,,61.3118249599331,61.3118249599331,,61.3118249599331
1980,S&P Global,1,1,,14.226,1000.146,,,70.30409110080134,70.30409110080134,,70.30409110080134
1981,S&P Global,1,1,,14.258,1110.125,,,77.85979800813578,77.85979800813578,,77.85979800813578
1982,S&P Global,1,1,,14.196,1193.587,,,84.07910679064526,84.07910679064526,,84.07910679064526
1983,S&P Global,1,1,,13.726,1295.175,,,94.35924522803438,94.35924522803438,,94.35924522803438
1984,S&P Global,1,1,,14.792,1401.778,,,94.76595457003786,94.76595457003786,,94.76595457003786
1985,S&P Global,1,1,,14.345,1491.208,,,103.95315440920182,103.95315440920182,,103.95315440920182
1986,S&P Global,1,1,,15.232,1576.834,,,103.52113970588236,103.52113970588236,,103.52113970588236
1987,S&P Global,1,1,,15.892,1751.23,,,110.19569594764661,110.19569594764661,,110.19569594764661
1988,S&P Global,1,1,,16.255,1817.961,,,111.84011073515842,111.84011073515842,,111.84011073515842
1989,S&P Global,1,1,,14.461,1788.963,,,123.70949450245487,123.70949450245487,,123.70949450245487
1990,S&P Global,1,1,,13.868,1938.638,,,139.7921834438996,139.7921834438996,,139.7921834438996
1991,S&P Global,1,1,,13.539,1943.012,,,143.51222394563854,143.51222394563854,,143.51222394563854
1992,S&P Global,1,1,,13.393,2050.491,,,153.10169491525423,153.10169491525423,,153.10169491525423
1993,S&P Global,1,1,,15.661,2195.453,,,140.1860034480557,140.1860034480557,,140.1860034480557
1994,S&P Global,1,1,,15.339,2760.869,,,179.99015581198253,179.99015581198253,,179.99015581198253
1995,S&P Global,1,1,,15.004,2935.283,,,195.63336443615037,195.63336443615037,,195.63336443615037
1996,S&P Global,1,1,,16.22,3074.697,,,189.56208384710237,189.56208384710237,,189.56208384710237
1997,S&P Global,1,1,,15.69,3534.095,,,225.24506054811982,225.24506054811982,,225.24506054811982
1998,S&P Global,1,1,,15.897,3729.145,,,234.58168207837957,234.58168207837957,,234.58168207837957
1999,S&P Global,1,1,,16.376,3991.997,,,243.77118954567658,243.77118954567658,,243.77118954567658
2000,S&P Global,1,1,,16.761,4280.968,,,255.41244555814092,255.41244555814092,,255.41244555814092
2001,S&P Global,1,1,,17.135,4645.535,,,271.113802159323,271.113802159323,,271.113802159323
2002,S&P Global,1,1,,16.505,4787.668,,,290.07379581944866,290.07379581944866,,290.07379581944866
2003,S&P Global,1,1,,16.068,4827.857,,,300.4640901170027,300.4640901170027,,300.4640901170027
2004,S&P Global,1,1,,17.253,5250.538,,,304.326088216542,304.326088216542,,304.326088216542
2005,S&P Global,1,1,,19.6,6003.642,,,306.3082653061224,306.3082653061224,,306.3082653061224
2006,S&P Global,1,1,,20.214,6255.138,,,309.44582962303355,309.44582962303355,,309.44582962303355
2007,S&P Global,1,1,,21.171,6772.281,,,319.88479523877004,319.88479523877004,,319.88479523877004
2008,S&P Global,1,1,,21.649,6355.055,,,293.5495865859855,293.5495865859855,,293.5495865859855
2009,S&P Global,1,1,,21.077,5951.782,,,282.3827869241353,282.3827869241353,,282.3827869241353
2010,S&P Global,1,1,,20.755,6168.331,,,297.1973500361359,297.1973500361359,,297.1973500361359
2011,S&P Global,1,1,,22.66,6246.0,,,275.63989408649604,275.63989408649604,,275.63989408649604
2012,S&P Global,1,1,,16.687,4450.0,,,266.6746569185593,266.6746569185593,,266.6746569185593
2013,S&P Global,1,1,,17.0,4875.0,,,286.7647058823529,286.7647058823529,,286.7647058823529
2014,S&P Global,1,1,,17.0,5051.0,,,297.11764705882354,297.11764705882354,,297.11764705882354
2015,S&P Global,1,1,,20.4,5313.0,,,260.44117647058823,260.44117647058823,,260.44117647058823
2016,S&P Global,1,1,,20.0,5661.0,,,283.05,283.05,,283.05
2017,S&P Global,1,1,,20.4,6063.0,,,297.2058823529412,297.2058823529412,,297.2058823529412
2018,S&P Global,1,1,,21.2,6258.0,,,295.188679245283,295.188679245283,,295.188679245283
2019,S&P Global,1,1,,22.5,6699.0,,,297.73333333333335,297.73333333333335,,297.73333333333335
2020,S&P Global,1,1,,23.0,7442.0,,,323.5652173913044,323.5652173913044,,323.5652173913044
2021,S&P Global,1,1,,22.85,8297.0,,,363.10722100656454,363.10722100656454,,363.10722100656454
2022,S&P Global,1,1,,39.95,11181.0,,,279.87484355444303,279.87484355444303,,279.87484355444303
2023,S&P Global,1,1,,40.45,12497.0,,,308.94932014833125,308.94932014833125,,308.94932014833125
2024,S&P Global,1,1,,42.35,14208.0,,,335.4899645808737,335.4899645808737,,335.4899645808737
2025,S&P Global,1,1,,44.5,15336.0,,,344.6292134831461,344.6292134831461,,344.6292134831461
1963,State Street family,1,1,466.4,1.787,29.246,260.99608282036934,260.99608282036934,16.365976496922215,16.365976496922215,260.99608282036934,16.365976496922215
1964,State Street family,1,1,531.7,1.839,31.835,289.1245241979337,289.1245241979337,17.3110386079391,17.3110386079391,289.1245241979337,17.3110386079391
1965,State Street family,1,1,655.0,1.86,35.809,352.1505376344086,352.1505376344086,19.252150537634407,19.252150537634407,352.1505376344086,19.252150537634407
1966,State Street family,1,1,635.7,2.164,44.513,293.7615526802218,293.7615526802218,20.56977818853974,20.56977818853974,293.7615526802218,20.56977818853974
1967,State Street family,1,1,818.3,2.117,50.878,386.5375531412376,386.5375531412376,24.033065658951347,24.033065658951347,386.5375531412376,24.033065658951347
1968,State Street family,1,1,1000.738,2.7,64.215,370.6437037037037,370.6437037037037,23.78333333333333,23.78333333333333,370.6437037037037,23.78333333333333
1969,State Street family,1,1,956.8,3.769,82.67,253.86044043512865,253.86044043512865,21.934200053064473,21.934200053064473,253.86044043512865,21.934200053064473
1970,State Street family,1,1,912.5,3.6,95.738,253.47222222222223,253.47222222222223,26.593888888888888,26.593888888888888,253.47222222222223,26.593888888888888
1971,State Street family,1,1,1098.4540000000002,3.2,93.019,343.266875,343.266875,29.0684375,29.0684375,343.266875,29.0684375
1972,State Street family,1,1,1397.846,2.8,90.532,499.2307142857143,499.2307142857143,32.332857142857144,32.332857142857144,499.2307142857143,32.332857142857144
1973,State Street family,1,1,1080.881,3.143,123.423,343.90104995227495,343.90104995227495,39.269169583200764,39.269169583200764,343.90104995227495,39.269169583200764
1974,State Street family,1,1,759.955,3.1,169.861,245.1467741935484,245.1467741935484,54.79387096774193,54.79387096774193,245.1467741935484,54.79387096774193
1975,State Street family,1,1,1009.856,3.0,152.173,336.6186666666667,336.6186666666667,50.724333333333334,50.724333333333334,336.6186666666667,50.724333333333334
1976,State Street family,1,1,1171.245,2.9,146.138,403.8775862068965,403.8775862068965,50.39241379310345,50.39241379310345,403.8775862068965,50.39241379310345
1977,State Street family,1,1,1082.317,2.9,150.742,373.21275862068967,373.21275862068967,51.98,51.98,373.21275862068967,51.98
1978,State Street family,1,1,1141.476,3.0,176.744,380.492,380.492,58.91466666666667,58.91466666666667,380.492,58.91466666666667
1979,State Street family,1,1,1348.56,3.1,247.824,435.01935483870966,435.01935483870966,79.94322580645161,79.94322580645161,435.01935483870966,79.94322580645161
1980,State Street family,1,1,1588.312,3.3,316.265,481.3066666666667,481.3066666666667,95.8378787878788,95.8378787878788,481.3066666666667,95.8378787878788
1981,State Street family,1,1,1629.8629999999998,3.5,402.621,465.6751428571428,465.6751428571428,115.03457142857143,115.03457142857143,465.6751428571428,115.03457142857143
1982,State Street family,1,1,1860.907,3.8,466.318,489.71236842105264,489.71236842105264,122.71526315789474,122.71526315789474,489.71236842105264,122.71526315789474
1983,State Street family,1,1,2142.404,3.6,442.786,595.1122222222222,595.1122222222222,122.9961111111111,122.9961111111111,595.1122222222222,122.9961111111111
1984,State Street family,1,1,2247.288,3.91,481.846,574.7539641943733,574.7539641943733,123.23427109974425,123.23427109974425,574.7539641943733,123.23427109974425
1985,State Street family,1,1,3002.423,4.716,546.041,636.6460983884647,636.6460983884647,115.78477523324852,115.78477523324852,636.6460983884647,115.78477523324852
1986,State Street family,1,1,3543.836,5.423,640.289,653.4825742209109,653.4825742209109,118.0691499170201,118.0691499170201,653.4825742209109,118.0691499170201
1987,State Street family,1,1,5531.768,6.943,756.881,796.740313985309,796.740313985309,109.01353881607375,109.01353881607375,796.740313985309,109.01353881607375
1988,State Street family,1,1,5597.542,7.298,896.827,766.9967114277885,766.9967114277885,122.88668128254317,122.88668128254317,766.9967114277885,122.88668128254317
1989,State Street family,1,1,6502.503000000001,7.624,1091.968,852.8991343126969,852.8991343126969,143.2277019937041,143.2277019937041,852.8991343126969,143.2277019937041
1990,State Street family,1,1,6853.3369999999995,8.129,1320.388,843.0725796530938,843.0725796530938,162.42932710050437,162.42932710050437,843.0725796530938,162.42932710050437
1991,State Street family,1,1,8367.194,8.321,1357.871,1005.5514962143973,1005.5514962143973,163.1860353322918,163.1860353322918,1005.5514962143973,163.1860353322918
1992,State Street family,1,1,10042.616,9.338,1417.276,1075.456843007068,1075.456843007068,151.77511244377814,151.77511244377814,1075.456843007068,151.77511244377814
1993,State Street family,1,1,13061.221,10.117,1532.283,1291.0171987743402,1291.0171987743402,151.45626173766925,151.45626173766925,1291.0171987743402,151.45626173766925
1994,State Street family,1,1,12752.593,11.127,1885.76,1146.0944549294509,1146.0944549294509,169.4760492495731,169.4760492495731,1146.0944549294509,169.4760492495731
1995,State Street family,1,1,16431.745,11.324,2455.691,1451.0548392794065,1451.0548392794065,216.85720593429883,216.85720593429883,1451.0548392794065,216.85720593429883
1996,State Street family,1,1,18760.305,12.792,2745.0,1466.5654315196998,1466.5654315196998,214.5872420262664,214.5872420262664,1466.5654315196998,214.5872420262664
1997,State Street family,1,1,25777.92,14.199,3428.0,1815.474329178111,1815.474329178111,241.42545249665469,241.42545249665469,1815.474329178111,241.42545249665469
1998,State Street family,1,1,37186.0,16.816,4234.0,2211.346336822074,2211.346336822074,251.78401522359658,251.78401522359658,2211.346336822074,251.78401522359658
1999,State Street family,1,1,50762.0,17.213,4749.0,2949.0501365247196,2949.0501365247196,275.89612502178585,275.89612502178585,2949.0501365247196,275.89612502178585
2000,State Street family,1,1,56911.2,17.022,5921.0,3343.3909058865,3343.3909058865,347.8439666314182,347.8439666314182,3343.3909058865,347.8439666314182
2001,State Street family,1,1,63467.0,19.753,5687.0,3213.0309320103274,3213.0309320103274,287.9056345871513,287.9056345871513,3213.0309320103274,287.9056345871513
2002,State Street family,1,1,71061.1,19.501,4900.0,3643.972103994667,3643.972103994667,251.26916568381108,251.26916568381108,3643.972103994667,251.26916568381108
2003,State Street family,1,1,84352.5,19.85,5118.0,4249.496221662468,4249.496221662468,257.8337531486146,257.8337531486146,4249.496221662468,257.8337531486146
2004,State Street family,1,1,105327.0,19.668,5861.0,5355.2471018913975,5355.2471018913975,297.9967459833232,297.9967459833232,5355.2471018913975,297.9967459833232
2005,State Street family,1,1,111611.4,20.965,7480.0,5323.701407107083,5323.701407107083,356.78511805389934,356.78511805389934,5323.701407107083,356.78511805389934
2006,State Street family,1,1,134279.6,21.7,9525.0,6188.000000000001,6188.000000000001,438.94009216589865,438.94009216589865,6188.000000000001,438.94009216589865
2007,State Street family,1,1,198216.2,27.11,11818.0,7311.552932497234,7311.552932497234,435.92770195499816,435.92770195499816,7311.552932497234,435.92770195499816
2008,State Street family,1,1,175275.0,28.475,12572.0,6155.3994732221245,6155.3994732221245,441.5100965759438,441.5100965759438,6155.3994732221245,441.5100965759438
2009,State Street family,1,1,218063.4,27.31,9362.0,7984.745514463567,7984.745514463567,342.8048333943611,342.8048333943611,7984.745514463567,342.8048333943611
2010,State Street family,1,1,303639.7,28.67,9716.0,10590.851063829787,10590.851063829787,338.89082664806415,338.89082664806415,10590.851063829787,338.89082664806415
2011,State Street family,1,1,324919.7,29.74,10207.0,10925.342972427708,10925.342972427708,343.20780094149296,343.20780094149296,10925.342972427708,343.20780094149296
2012,State Street family,1,1,396760.1,29.66,10125.0,13376.942009440323,13376.942009440323,341.3688469318948,341.3688469318948,13376.942009440323,341.3688469318948
2013,State Street family,1,1,469054.1,29.4,10295.0,15954.221088435374,15954.221088435374,350.1700680272109,350.1700680272109,15954.221088435374,350.1700680272109
2014,State Street family,1,1,540444.155,29.97,10687.0,18032.83800467134,18032.83800467134,356.58992325658994,356.58992325658994,18032.83800467134,356.58992325658994
2015,State Street family,1,1,482811.9,32.356,10595.0,14921.86611447645,14921.86611447645,327.4508591914946,327.4508591914946,14921.86611447645,327.4508591914946
2016,State Street family,1,1,608198.6,33.783,10582.0,18003.096231832576,18003.096231832576,313.2344670396353,313.2344670396353,18003.096231832576,313.2344670396353
2017,State Street family,1,1,737966.5,36.643,11744.0,20139.358131157383,20139.358131157383,320.49777583713126,320.49777583713126,20139.358131157383,320.49777583713126
2018,State Street family,1,1,674622.7,40.142,12973.0,16805.906531812067,16805.906531812067,323.1777190972049,323.1777190972049,16805.906531812067,323.1777190972049
2019,State Street family,1,1,867167.7999999999,39.103,13131.0,22176.503081604988,22176.503081604988,335.80543692299824,335.80543692299824,22176.503081604988,335.80543692299824
2020,State Street family,1,1,1020313.0,39.439,12078.0,25870.66102081696,25870.66102081696,306.24508735008493,306.24508735008493,25870.66102081696,306.24508735008493
2021,State Street family,1,1,1306221.3,38.784,12030.0,33679.385829207924,33679.385829207924,310.1794554455446,310.1794554455446,33679.385829207924,310.1794554455446
2022,State Street family,1,1,1178258.7,42.226,13669.0,27903.630464642636,27903.630464642636,323.71051011225313,323.71051011225313,27903.630464642636,323.71051011225313
2023,State Street family,1,1,1503056.6,46.451,18366.0,32357.895416675638,32357.895416675638,395.3843835439495,395.3843835439495,32357.895416675638,395.3843835439495
2024,State Street family,1,1,1815694.9,52.626,21973.0,34501.8602971915,34501.8602971915,417.5312583133812,417.5312583133812,34501.8602971915,417.5312583133812
2025,State Street family,1,1,2225117.8,51.503,22628.0,43203.65415606857,43203.65415606857,439.3530473952974,439.3530473952974,43203.65415606857,439.3530473952974
